name,id,instance_name,source_name,guild_note,prio_note,officer_note,tier,tier_label,created_at,updated_at
"Bone Sentinel's Amulet",50609,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Boneguard Commander's Pauldrons",50660,"Icecrown Citadel H25",Gunship,,,,,,,
"Boots of the Funeral March",50632,"Icecrown Citadel H25",Valithria,,,,,,,
"Boots of Unnatural Growth",50665,"Icecrown Citadel H25",Gunship,,,,,,,
"Bracers of Dark Reckoning",50611,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Bracers of Eternal Dreaming",50630,"Icecrown Citadel H25",Valithria,,,,,,,
"Broken Ram Skull Helm",50640,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Bryntroll, the Bone Arbiter",50709,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Bulwark of Smouldering Steel",50616,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Carapace of Forgotten Kings",50689,"Icecrown Citadel H25",Festergut,,,,,,,
"Coldwraith Links",50620,"Icecrown Citadel H25",Valithria,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H25",Saurfang,,,,,,,
"Conqueror's Mark of Sanctification",52030,"Icecrown Citadel H25",Saurfang,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H25",Putricide,,,,,,,
"Conqueror's Mark of Sanctification",52030,"Icecrown Citadel H25",Putricide,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Conqueror's Mark of Sanctification",52030,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Conqueror's Mark of Sanctification",52030,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H25","Lich King",,,,,,,
"Conqueror's Mark of Sanctification",52030,"Icecrown Citadel H25","Lich King",,,,,,,
"Corp'rethar Ceremonial Crown",50661,"Icecrown Citadel H25",Gunship,,,,,,,
"Corpse Tongue Coin",50349,"Icecrown Citadel H25",Gunship,,,,,,,
"Corpse-Impaling Spike",50684,"Icecrown Citadel H25",Rotface,,,,,,,
"Crushing Coldwraith Belt",50613,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Crypt Keeper's Bracers",50721,"Icecrown Citadel H25",Council,,,,,,,
Cryptmaker,50603,"Icecrown Citadel H25",Council,,,,,,,
"Cultist's Bloodsoaked Spaulders",50646,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Death Surgeon's Sleeves",50686,"Icecrown Citadel H25",Rotface,,,,,,,
"Deathbringer's Will",50363,"Icecrown Citadel H25",Saurfang,,,,,,,
"Deathwhisper Raiment",50649,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Devium's Eternally Cold Ring",50622,"Icecrown Citadel H25",Valithria,,,,,,,
"Dislodged Foreign Object",50348,"Icecrown Citadel H25",Rotface,,,,,,,
"Distant Land",50695,"Icecrown Citadel H25",Festergut,,,,,,,
"Dual-Bladed Pauldrons",50673,"Icecrown Citadel H25",Rotface,,,,,,,
"Dying Light",50725,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Emblem of Frost",49426,"Icecrown Citadel H25",Valithria,,,,,,,
"Emblem of Frost",49426,"Icecrown Citadel H25","Lich King",,,,,,,
"Faceplate of the Forgotten",50701,"Icecrown Citadel H25",Festergut,,,,,,,
"Fal'inrush, Defender of Quel'thalas",50733,"Icecrown Citadel H25","Lich King",,,,,,,
"Fallen Lord's Handguards",50650,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Festergut's Acidic Blood",50226,"Icecrown Citadel H25",Festergut,,,,,,,
"Fleshrending Gauntlets",50690,"Icecrown Citadel H25",Festergut,,,,,,,
"Frostbinder's Shredded Cape",50628,"Icecrown Citadel H25",Valithria,,,,,,,
"Frostbitten Fur Boots",50607,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Frostbrood Sapphire Ring",50618,"Icecrown Citadel H25",Valithria,,,,,,,
"Frozen Bonespike",50608,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Gangrenous Leggings",50697,"Icecrown Citadel H25",Festergut,,,,,,,
"Geistlord's Punishment Sack",50713,"Icecrown Citadel H25",Council,,,,,,,
"Gendarme's Cuirass",50606,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Glorenzelg, High-Blade of the Silver Hand",50730,"Icecrown Citadel H25","Lich King",,,,,,,
"Greatcloak of the Turned Champion",50668,"Icecrown Citadel H25",Saurfang,,,,,,,
"Grinning Skull Greatboots",50625,"Icecrown Citadel H25",Valithria,,,,,,,
"Gunship Captain's Mittens",50663,"Icecrown Citadel H25",Gunship,,,,,,,
"Handguards of Winter's Respite",50615,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Harbinger's Bone Band",50447,"Icecrown Citadel H25",Trash,,,,,,,
"Havoc's Call, Blade of Lordaeron Kings",50737,"Icecrown Citadel H25","Lich King",,,,,,,
Heartpierce,50641,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Heaven's Fall, Kryss of a Thousand Lies",50736,"Icecrown Citadel H25","Lich King",,,,,,,
"Helm of the Elder Moon",50679,"Icecrown Citadel H25",Rotface,,,,,,,
"Holiday's Grace",50700,"Icecrown Citadel H25",Festergut,,,,,,,
"Horrific Flesh Epaulets",50698,"Icecrown Citadel H25",Festergut,,,,,,,
"Icecrown Glacial Wall",50729,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Ikfirus's Sack of Wonder",50656,"Icecrown Citadel H25",Gunship,,,,,,,
"Incarnadine Band of Mending",50720,"Icecrown Citadel H25",Council,,,,,,,
"Invincible's Reins",50818,"Icecrown Citadel H25","Lich King",,,,,,,
"Juggernaut Band",50642,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Keleseth's Seducer",50710,"Icecrown Citadel H25",Council,,,,,,,
"Lana'thel's Chain of Flagellation",50728,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Landsoul's Horned Greathelm",50712,"Icecrown Citadel H25",Council,,,,,,,
"Last Word",50708,"Icecrown Citadel H25",Putricide,,,,,,,
"Leather of Stitched Scourge Parts",50696,"Icecrown Citadel H25",Festergut,,,,,,,
"Leggings of Dubious Charms",50450,"Icecrown Citadel H25",Trash,,,,,,,
"Leggings of Dying Candles",50623,"Icecrown Citadel H25",Valithria,,,,,,,
"Leggings of Northern Lights",50645,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Legguards of Lost Hope",50612,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Lingering Illness",50702,"Icecrown Citadel H25",Festergut,,,,,,,
"Loop of the Endless Labyrinth",50614,"Icecrown Citadel H25",Marrowgar,,,,,,,
Lungbreaker,50621,"Icecrown Citadel H25",Valithria,,,,,,,
"Mail of Crimson Coins",50723,"Icecrown Citadel H25",Council,,,,,,,
"Marrowgar's Frigid Eye",50610,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Memory of Malygos",50636,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Might of Blight",50693,"Icecrown Citadel H25",Festergut,,,,,,,
"Mithrios, Bronzebeard's Legacy",50738,"Icecrown Citadel H25","Lich King",,,,,,,
"Necrophotic Greaves",50652,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Nerub'ar Stalker's Cord",50688,"Icecrown Citadel H25",Festergut,,,,,,,
Nibelung,50648,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Nightmare Ender",50631,"Icecrown Citadel H25",Valithria,,,,,,,
"Noose of Malachite",50627,"Icecrown Citadel H25",Valithria,,,,,,,
"Oathbinder, Charge of the Ranger-General",50735,"Icecrown Citadel H25","Lich King",,,,,,,
"Phylactery of the Nameless Lich",50365,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Plague Scientist's Boots",50699,"Icecrown Citadel H25",Festergut,,,,,,,
"Plaguebringer's Stained Pants",50694,"Icecrown Citadel H25",Festergut,,,,,,,
"Polar Bear Claw Bracers",50659,"Icecrown Citadel H25",Gunship,,,,,,,
"Primordial Saronite",49908,"Icecrown Citadel H25",Tokens,,,,,,,
"Professor's Bloodied Smock",50705,"Icecrown Citadel H25",Putricide,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Saurfang,,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Saurfang,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Putricide,,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Putricide,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25","Lich King",,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25","Lich King",,,,,,,
"Raging Behemoth's Shoulderplates",50674,"Icecrown Citadel H25",Rotface,,,,,,,
"Rib Spreader",50676,"Icecrown Citadel H25",Rotface,,,,,,,
Rigormortis,50704,"Icecrown Citadel H25",Putricide,,,,,,,
"Ring of Maddening Whispers",50644,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Ring of Rapid Ascent",50664,"Icecrown Citadel H25",Gunship,,,,,,,
"Ring of Rotting Sinew",50453,"Icecrown Citadel H25",Trash,,,,,,,
"Robe of the Waking Nightmare",50629,"Icecrown Citadel H25",Valithria,,,,,,,
"Rot-Resistant Breastplate",50680,"Icecrown Citadel H25",Rotface,,,,,,,
"Rotface's Acidic Blood",50231,"Icecrown Citadel H25",Rotface,,,,,,,
"Rowan's Rifle of Silver Bullets",50444,"Icecrown Citadel H25",Trash,,,,,,,
"Royal Crimson Cloak",50718,"Icecrown Citadel H25",Council,,,,,,,
"Royal Scepter of Terenas II",50734,"Icecrown Citadel H25","Lich King",,,,,,,
"Rusted Bonespike Pauldrons",50617,"Icecrown Citadel H25",Marrowgar,,,,,,,
"San'layn Ritualist Gloves",50722,"Icecrown Citadel H25",Council,,,,,,,
"Sanguine Silk Robes",50717,"Icecrown Citadel H25",Council,,,,,,,
"Scourge Hunter's Vambraces",50655,"Icecrown Citadel H25",Gunship,,,,,,,
"Scourge Reaver's Legplates",50624,"Icecrown Citadel H25",Valithria,,,,,,,
"Scourgeborne Waraxe",50654,"Icecrown Citadel H25",Gunship,,,,,,,
"Seal of Many Mouths",50678,"Icecrown Citadel H25",Rotface,,,,,,,
"Shadow Silk Spindle",50719,"Icecrown Citadel H25",Council,,,,,,,
"Shadowfrost Shard",50274,"Icecrown Citadel H25",Tokens,,,,,,,
"Shadowvault Slayer's Cloak",50653,"Icecrown Citadel H25",Gunship,,,,,,,
"Shoulders of Frost-Tipped Thorns",50715,"Icecrown Citadel H25",Council,,,,,,,
"Shoulders of Mercy Killing",50643,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Sindragosa's Cruel Claw",50633,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Sindragosa's Flawless Fang",50364,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Skeleton Lord's Circle",50657,"Icecrown Citadel H25",Gunship,,,,,,,
"Snowserpent Mail Helm",50605,"Icecrown Citadel H25",Marrowgar,,,,,,,
"Snowstorm Helm",50626,"Icecrown Citadel H25",Valithria,,,,,,,
"Stiffened Corpse Shoulderpads",50449,"Icecrown Citadel H25",Trash,,,,,,,
"Sundial of Eternal Dusk",50635,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Taldaram's Plated Fists",50716,"Icecrown Citadel H25",Council,,,,,,,
"The Lady's Brittle Bracers",50651,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Tiny Abomination in a Jar",50706,"Icecrown Citadel H25",Putricide,,,,,,,
"Toskk's Maximized Wristguards",50670,"Icecrown Citadel H25",Saurfang,,,,,,,
Trauma,50685,"Icecrown Citadel H25",Rotface,,,,,,,
"Treads of the Wasteland",50711,"Icecrown Citadel H25",Council,,,,,,,
"Unclean Surgical Gloves",50703,"Icecrown Citadel H25",Festergut,,,,,,,
"Valanar's Other Signet Ring",50714,"Icecrown Citadel H25",Council,,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Saurfang,,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Saurfang,,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Putricide,,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Putricide,,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Lana'thel,,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Sindragosa,,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25","Lich King",,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25","Lich King",,,,,,,
"Waistband of Righteous Fury",50667,"Icecrown Citadel H25",Gunship,,,,,,,
"Winding Sheet",50677,"Icecrown Citadel H25",Rotface,,,,,,,
"Wodin's Lucky Necklace",50452,"Icecrown Citadel H25",Trash,,,,,,,
"Zod's Repeating Longbow",50638,"Icecrown Citadel H25",Deathwhisper,,,,,,,
"Abomination Knuckles",51876,"Icecrown Citadel H10",Rotface,,,,,,,
"Abomination's Bloody Ring",51913,"Icecrown Citadel H10",Gunship,,,,,,,
Abracadaver,51887,"Icecrown Citadel H10",Festergut,,,,,,,
"Ancient Skeletal Boots",51931,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Battle-Maiden's Legguards",51854,"Icecrown Citadel H10",Council,,,,,,,
"Blade-Scored Carapace",51902,"Icecrown Citadel H10",Saurfang,,,,,,,
"Bleak Coldarra Carver",51815,"Icecrown Citadel H10",Sindragosa,,,,,,,
"Blood-Drinker's Girdle",51853,"Icecrown Citadel H10",Council,,,,,,,
Bloodsipper,51846,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Bloodsoul Raiment",51851,"Icecrown Citadel H10",Council,,,,,,,
"Bloodstained Surgeon's Shoulderguards",51883,"Icecrown Citadel H10",Festergut,,,,,,,
"Bone Drake's Enameled Boots",51915,"Icecrown Citadel H10",Gunship,,,,,,,
"Bone Warden's Splitter",51938,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Bonebreaker Scepter",51937,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Boots of the Frozen Seed",51920,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Bracers of Dark Blessings",51918,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Bracers of Pale Illumination",51907,"Icecrown Citadel H10",Gunship,,,,,,,
"Cauterized Cord",51862,"Icecrown Citadel H10",Putricide,,,,,,,
"Cerise Coiled Ring",51849,"Icecrown Citadel H10",Council,,,,,,,
"Chestguard of Siphoned Elements",51840,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Chestguard of the Failed Experiment",51870,"Icecrown Citadel H10",Rotface,,,,,,,
"Chestguard of the Frigid Noose",51923,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Chestplate of Septic Stitches",51861,"Icecrown Citadel H10",Putricide,,,,,,,
"Choker of Filthy Diamonds",51871,"Icecrown Citadel H10",Rotface,,,,,,,
"Citadel Enforcer's Claymore",51936,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Cloak of Many Skins",51888,"Icecrown Citadel H10",Festergut,,,,,,,
"Coldwraith Bracers",51929,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Collar of Haughty Disdain",51842,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H10",Saurfang,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H10",Putricide,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H10",Sindragosa,,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel H10","Lich King",,,,,,,
"Cord of Dark Suffering",51908,"Icecrown Citadel H10",Gunship,,,,,,,
"Cord of the Patronizing Practitioner",51930,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Corrupted Silverplate Leggings",51928,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Cowl of Malefic Repose",51837,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Deathforged Legplates",51895,"Icecrown Citadel H10",Saurfang,,,,,,,
"Deathspeaker Disciple's Belt",51919,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Deathspeaker Zealot's Helm",51924,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Discarded Bag of Entrails",51866,"Icecrown Citadel H10",Putricide,,,,,,,
"Dreamhunter's Carbine",51834,"Icecrown Citadel H10",Valithria,,,,,,,
"Emblem of Frost",49426,"Icecrown Citadel H10","Lich King",,,,,,,
"Emerald Saint's Spaulders",51824,"Icecrown Citadel H10",Valithria,,,,,,,
"Etched Dragonbone Girdle",51821,"Icecrown Citadel H10",Sindragosa,,,,,,,
"Ether-Soaked Bracers",51872,"Icecrown Citadel H10",Rotface,,,,,,,
"Festergut's Gaseous Gloves",51886,"Icecrown Citadel H10",Festergut,,,,,,,
"Festering Fingerguards",51892,"Icecrown Citadel H10",Festergut,,,,,,,
"Flesh-Carving Scalpel",51868,"Icecrown Citadel H10",Putricide,,,,,,,
"Flesh-Shaper's Gurney Strap",51879,"Icecrown Citadel H10",Rotface,,,,,,,
"Frost Giant's Cleaver",51916,"Icecrown Citadel H10",Gunship,,,,,,,
"Frost Needle",51932,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Gargoyle Spit Bracers",51901,"Icecrown Citadel H10",Saurfang,,,,,,,
"Ghoul Commander's Cuirass",51917,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Gloves of Broken Fingers",51874,"Icecrown Citadel H10",Rotface,,,,,,,
"Gluth's Fetching Knife",51880,"Icecrown Citadel H10",Rotface,,,,,,,
Gutbuster,51893,"Icecrown Citadel H10",Festergut,,,,,,,
"Halion, Staff of Forgotten Love",51943,"Icecrown Citadel H10","Lich King",,,,,,,
"Handgrips of Frost and Sleet",51926,"Icecrown Citadel H10",Deathwhisper,,,,,,,
"Hauberk of a Thousand Cuts",51903,"Icecrown Citadel H10",Saurfang,,,,,,,
"Heartsick Mender's Cape",51848,"Icecrown Citadel H10",Council,,,,,,,
"Hersir's Greatspear",51857,"Icecrown Citadel H10",Council,,,,,,,
"Ice-Reinforced Vrykul Helm",51906,"Icecrown Citadel H10",Gunship,,,,,,,
"Icecrown Rampart Bracers",51914,"Icecrown Citadel H10",Gunship,,,,,,,
"Icecrown Spire Sandals",51899,"Icecrown Citadel H10",Saurfang,,,,,,,
"Icicle Shapers",51814,"Icecrown Citadel H10",Sindragosa,,,,,,,
"Infected Choker",51867,"Icecrown Citadel H10",Putricide,,,,,,,
"Ironrope Belt of Ymirjar",51831,"Icecrown Citadel H10",Valithria,,,,,,,
"Ivory-Inlaid Leggings",51841,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Kilt of Untreated Wounds",51882,"Icecrown Citadel H10",Festergut,,,,,,,
"Lana'thel's Bloody Nail",51838,"Icecrown Citadel H10",Lana'thel,,,,,,,
"Leggings of the Refracted Mind",51823,"Icecrown Citadel H10",Valithria,,,,,,,
"Leggings of Unrelenting Blood",51897,"Icecrown Citadel H10",Saurfang,,,,,,,
"Legguards of the Twisted Dream",51829,"Icecrown Citadel H10",Valithria,,,,,,,
"Legplates of Aetheric Strife",51817,"Icecrown Citadel H10",Sindragosa,,,,,,,
"Lich Wrappings",51826,"Icecrown Citadel H10",Valithria,,,,,,,
"Linked Scourge Vertebrae",51935,"Icecrown Citadel H10",Marrowgar,,,,,,,
Lockjaw,51875,"Icecrown Citadel H10",Rotface,,,,,,,
"Lost Pavise of the Blue Flight",51812,"Icecrown Citadel H10",Sindragosa,,,,,,,
"Mag'hari Chieftain's Staff",51898,"Icecrown Citadel H10",Saurfang,,,,,,,
"Marrowgar's Scratching Choker",51934,"Icecrown Citadel H10",Marrowgar,,,,,,,
"Midnight Sun",51910,"Icecrown Citadel H10",Gunship,,,,,,,
"Muradin's Spyglass",50345,"Icecrown Citadel H10",Gunship,,,,,,,
"Neverending Winter",51909,"Icecrown Citadel H10",Gunship,,,,,,,
"Njorndar Bone Bow",51927,"Icecrown Citadel H10",Deathwhisper,,,,,,,
Oxheart,51833,"Icecrown Citadel H10",Valithria,,,,,,,
"Pale Corpse Boots",51850,"Icecrown Citadel H10",Council,,,,,,,
"Pauldrons of Lost Hope",51911,"Icecrown Citadel H10",Gunship,,,,,,,
"Pendant of Split Veins",51863,"Icecrown Citadel H10",Putricide,,,,,,,
"Plague-Soaked Leather Leggings",51889,"Icecrown Citadel H10",Festergut,,,,,,,
"Precious's Putrid Collar",51890,"Icecrown Citadel H10",Festergut,,,,,,,
"Primordial Saronite",49908,"Icecrown Citadel H10",Tokens,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H10",Saurfang,,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H10",Putricide,,,,,,,
