name,id,instance_name,source_name,guild_note,prio_note,tier,tier_label,created_at,updated_at
"Corpse Tongue Coin",50349,"Icecrown Citadel H25",Gunship,,,,,,
"Corpse-Impaling Spike",50684,"Icecrown Citadel H25",Rotface,,,,,,
"Crushing Coldwraith Belt",50613,"Icecrown Citadel H25",Marrowgar,,,,,,
"Crypt Keeper's Bracers",50721,"Icecrown Citadel H25",Council,,,,,,
Cryptmaker,50603,"Icecrown Citadel H25",Council,,,,,,
"Cultist's Bloodsoaked Spaulders",50646,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Death Surgeon's Sleeves",50686,"Icecrown Citadel H25",Rotface,,,,,,
"Deathbringer's Will",50363,"Icecrown Citadel H25",Saurfang,,,,,,
"Deathwhisper Raiment",50649,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Devium's Eternally Cold Ring",50622,"Icecrown Citadel H25",Valithria,,,,,,
"Dislodged Foreign Object",50348,"Icecrown Citadel H25",Rotface,,,,,,
"Distant Land",50695,"Icecrown Citadel H25",Festergut,,,,,,
"Dual-Bladed Pauldrons",50673,"Icecrown Citadel H25",Rotface,,,,,,
"Dying Light",50725,"Icecrown Citadel H25",Lana'thel,,,,,,
"Emblem of Frost",49426,"Icecrown Citadel H25",Valithria,,,,,,
"Emblem of Frost",49426,"Icecrown Citadel H25","Lich King",,,,,,
"Faceplate of the Forgotten",50701,"Icecrown Citadel H25",Festergut,,,,,,
"Fal'inrush, Defender of Quel'thalas",50733,"Icecrown Citadel H25","Lich King",,,,,,
"Fallen Lord's Handguards",50650,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Festergut's Acidic Blood",50226,"Icecrown Citadel H25",Festergut,,,,,,
"Fleshrending Gauntlets",50690,"Icecrown Citadel H25",Festergut,,,,,,
"Frostbinder's Shredded Cape",50628,"Icecrown Citadel H25",Valithria,,,,,,
"Frostbitten Fur Boots",50607,"Icecrown Citadel H25",Marrowgar,,,,,,
"Frostbrood Sapphire Ring",50618,"Icecrown Citadel H25",Valithria,,,,,,
"Frozen Bonespike",50608,"Icecrown Citadel H25",Marrowgar,,,,,,
"Gangrenous Leggings",50697,"Icecrown Citadel H25",Festergut,,,,,,
"Geistlord's Punishment Sack",50713,"Icecrown Citadel H25",Council,,,,,,
"Gendarme's Cuirass",50606,"Icecrown Citadel H25",Marrowgar,,,,,,
"Glorenzelg, High-Blade of the Silver Hand",50730,"Icecrown Citadel H25","Lich King",,,,,,
"Greatcloak of the Turned Champion",50668,"Icecrown Citadel H25",Saurfang,,,,,,
"Grinning Skull Greatboots",50625,"Icecrown Citadel H25",Valithria,,,,,,
"Handguards of Winter's Respite",50615,"Icecrown Citadel H25",Marrowgar,,,,,,
"Harbinger's Bone Band",50447,"Icecrown Citadel H25",Trash,,,,,,
"Havoc's Call, Blade of Lordaeron Kings",50737,"Icecrown Citadel H25","Lich King",,,,,,
Heartpierce,50641,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Heaven's Fall, Kryss of a Thousand Lies",50736,"Icecrown Citadel H25","Lich King",,,,,,
"Helm of the Elder Moon",50679,"Icecrown Citadel H25",Rotface,,,,,,
"Holiday's Grace",50700,"Icecrown Citadel H25",Festergut,,,,,,
"Horrific Flesh Epaulets",50698,"Icecrown Citadel H25",Festergut,,,,,,
"Icecrown Glacial Wall",50729,"Icecrown Citadel H25",Lana'thel,,,,,,
"Ikfirus's Sack of Wonder",50656,"Icecrown Citadel H25",Gunship,,,,,,
"Ikfirus's Sack of Wonder",50656,"Icecrown Citadel H25",Gunship,,,,,,
"Incarnadine Band of Mending",50720,"Icecrown Citadel H25",Council,,,,,,
"Invincible's Reins",50818,"Icecrown Citadel H25","Lich King",,,,,,
"Juggernaut Band",50642,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Keleseth's Seducer",50710,"Icecrown Citadel H25",Council,,,,,,
"Lana'thel's Chain of Flagellation",50728,"Icecrown Citadel H25",Lana'thel,,,,,,
"Landsoul's Horned Greathelm",50712,"Icecrown Citadel H25",Council,,,,,,
"Last Word",50708,"Icecrown Citadel H25",Putricide,,,,,,
"Leather of Stitched Scourge Parts",50696,"Icecrown Citadel H25",Festergut,,,,,,
"Leggings of Dubious Charms",50450,"Icecrown Citadel H25",Trash,,,,,,
"Leggings of Dying Candles",50623,"Icecrown Citadel H25",Valithria,,,,,,
"Leggings of Northern Lights",50645,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Legguards of Lost Hope",50612,"Icecrown Citadel H25",Marrowgar,,,,,,
"Lingering Illness",50702,"Icecrown Citadel H25",Festergut,,,,,,
"Loop of the Endless Labyrinth",50614,"Icecrown Citadel H25",Marrowgar,,,,,,
Lungbreaker,50621,"Icecrown Citadel H25",Valithria,,,,,,
"Mail of Crimson Coins",50723,"Icecrown Citadel H25",Council,,,,,,
"Marrowgar's Frigid Eye",50610,"Icecrown Citadel H25",Marrowgar,,,,,,
"Memory of Malygos",50636,"Icecrown Citadel H25",Sindragosa,,,,,,
"Might of Blight",50693,"Icecrown Citadel H25",Festergut,,,,,,
"Mithrios, Bronzebeard's Legacy",50738,"Icecrown Citadel H25","Lich King",,,,,,
"Necrophotic Greaves",50652,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Nerub'ar Stalker's Cord",50688,"Icecrown Citadel H25",Festergut,,,,,,
Nibelung,50648,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Nightmare Ender",50631,"Icecrown Citadel H25",Valithria,,,,,,
"Noose of Malachite",50627,"Icecrown Citadel H25",Valithria,,,,,,
"Oathbinder, Charge of the Ranger-General",50735,"Icecrown Citadel H25","Lich King",,,,,,
"Phylactery of the Nameless Lich",50365,"Icecrown Citadel H25",Sindragosa,,,,,,
"Plague Scientist's Boots",50699,"Icecrown Citadel H25",Festergut,,,,,,
"Plaguebringer's Stained Pants",50694,"Icecrown Citadel H25",Festergut,,,,,,
"Polar Bear Claw Bracers",50659,"Icecrown Citadel H25",Gunship,,,,,,
"Primordial Saronite",49908,"Icecrown Citadel H25",Tokens,,,,,,
"Professor's Bloodied Smock",50705,"Icecrown Citadel H25",Putricide,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Saurfang,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Saurfang,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Putricide,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Putricide,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Lana'thel,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Lana'thel,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25",Sindragosa,,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25",Sindragosa,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel H25","Lich King",,,,,,
"Protector's Mark of Sanctification",52029,"Icecrown Citadel H25","Lich King",,,,,,
"Raging Behemoth's Shoulderplates",50674,"Icecrown Citadel H25",Rotface,,,,,,
"Rib Spreader",50676,"Icecrown Citadel H25",Rotface,,,,,,
Rigormortis,50704,"Icecrown Citadel H25",Putricide,,,,,,
"Ring of Maddening Whispers",50644,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Ring of Rapid Ascent",50664,"Icecrown Citadel H25",Gunship,,,,,,
"Ring of Rotting Sinew",50453,"Icecrown Citadel H25",Trash,,,,,,
"Robe of the Waking Nightmare",50629,"Icecrown Citadel H25",Valithria,,,,,,
"Rot-Resistant Breastplate",50680,"Icecrown Citadel H25",Rotface,,,,,,
"Rotface's Acidic Blood",50231,"Icecrown Citadel H25",Rotface,,,,,,
"Rowan's Rifle of Silver Bullets",50444,"Icecrown Citadel H25",Trash,,,,,,
"Royal Crimson Cloak",50718,"Icecrown Citadel H25",Council,,,,,,
"Royal Scepter of Terenas II",50734,"Icecrown Citadel H25","Lich King",,,,,,
"Rusted Bonespike Pauldrons",50617,"Icecrown Citadel H25",Marrowgar,,,,,,
"San'layn Ritualist Gloves",50722,"Icecrown Citadel H25",Council,,,,,,
"Sanguine Silk Robes",50717,"Icecrown Citadel H25",Council,,,,,,
"Scourge Hunter's Vambraces",50655,"Icecrown Citadel H25",Gunship,,,,,,
"Scourge Reaver's Legplates",50624,"Icecrown Citadel H25",Valithria,,,,,,
"Scourgeborne Waraxe",50654,"Icecrown Citadel H25",Gunship,,,,,,
"Seal of Many Mouths",50678,"Icecrown Citadel H25",Rotface,,,,,,
"Shadow Silk Spindle",50719,"Icecrown Citadel H25",Council,,,,,,
"Shadowfrost Shard",50274,"Icecrown Citadel H25",Tokens,,,,,,
"Shadowvault Slayer's Cloak",50653,"Icecrown Citadel H25",Gunship,,,,,,
"Shoulders of Frost-Tipped Thorns",50715,"Icecrown Citadel H25",Council,,,,,,
"Shoulders of Mercy Killing",50643,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Sindragosa's Cruel Claw",50633,"Icecrown Citadel H25",Sindragosa,,,,,,
"Sindragosa's Flawless Fang",50364,"Icecrown Citadel H25",Sindragosa,,,,,,
"Skeleton Lord's Circle",50657,"Icecrown Citadel H25",Gunship,,,,,,
"Snowserpent Mail Helm",50605,"Icecrown Citadel H25",Marrowgar,,,,,,
"Snowstorm Helm",50626,"Icecrown Citadel H25",Valithria,,,,,,
"Stiffened Corpse Shoulderpads",50449,"Icecrown Citadel H25",Trash,,,,,,
"Sundial of Eternal Dusk",50635,"Icecrown Citadel H25",Sindragosa,,,,,,
"Taldaram's Plated Fists",50716,"Icecrown Citadel H25",Council,,,,,,
"The Lady's Brittle Bracers",50651,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Tiny Abomination in a Jar",50706,"Icecrown Citadel H25",Putricide,,,,,,
"Toskk's Maximized Wristguards",50670,"Icecrown Citadel H25",Saurfang,,,,,,
Trauma,50685,"Icecrown Citadel H25",Rotface,,,,,,
"Treads of the Wasteland",50711,"Icecrown Citadel H25",Council,,,,,,
"Unclean Surgical Gloves",50703,"Icecrown Citadel H25",Festergut,,,,,,
"Valanar's Other Signet Ring",50714,"Icecrown Citadel H25",Council,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Saurfang,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Saurfang,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Putricide,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Putricide,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Lana'thel,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Lana'thel,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25",Sindragosa,,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25",Sindragosa,,,,,,
"Vanquisher's Mark of Sanctification",52025,"Icecrown Citadel H25","Lich King",,,,,,
"Vanquisher's Mark of Sanctification",52028,"Icecrown Citadel H25","Lich King",,,,,,
"Waistband of Righteous Fury",50667,"Icecrown Citadel H25",Gunship,,,,,,
"Winding Sheet",50677,"Icecrown Citadel H25",Rotface,,,,,,
"Wodin's Lucky Necklace",50452,"Icecrown Citadel H25",Trash,,,,,,
"Zod's Repeating Longbow",50638,"Icecrown Citadel H25",Deathwhisper,,,,,,
"Ahn'kahar Onyx Neckguard",49989,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Aldriana's Gloves of Secrecy",50021,"Icecrown Citadel N25",Rotface,,,,,,
"Althor's Abacus",50359,"Icecrown Citadel N25",Gunship,,,,,,
"Amulet of the Silent Eulogy",50005,"Icecrown Citadel N25",Gunship,,,,,,
"Anub'ar Stalker's Gloves",50188,"Icecrown Citadel N25",Valithria,,,,,,
"Archus, Greatstaff of Antonidas",50429,"Icecrown Citadel N25","Lich King",,,,,,
"Astrylian's Sutured Cinch",50067,"Icecrown Citadel N25",Putricide,,,,,,
"Band of the Bone Colossus",49949,"Icecrown Citadel N25",Marrowgar,,,,,,
"Bauble of True Blood",50354,"Icecrown Citadel N25",Lana'thel,,,,,,
"Belt of Broken Bones",50036,"Icecrown Citadel N25",Festergut,,,,,,
"Belt of the Blood Nova",50015,"Icecrown Citadel N25",Saurfang,,,,,,
"Belt of the Lonely Noble",50451,"Icecrown Citadel N25",Trash,,,,,,
"Bile-Encrusted Medallion",50023,"Icecrown Citadel N25",Rotface,,,,,,
"Black Bruise",50035,"Icecrown Citadel N25",Festergut,,,,,,
"Blightborne Warplate",50024,"Icecrown Citadel N25",Rotface,,,,,,
"Blood Queen's Crimson Choker",50182,"Icecrown Citadel N25",Lana'thel,,,,,,
"Blood-Soaked Saronite Stompers",49983,"Icecrown Citadel N25",Deathwhisper,,,,,,
Bloodfall,50178,"Icecrown Citadel N25",Lana'thel,,,,,,
"Bloodsunder's Bracers",50030,"Icecrown Citadel N25",Rotface,,,,,,
"Bloodsurge, Kel'Thuzad's Blade of Agony",50427,"Icecrown Citadel N25","Lich King",,,,,,
"Bloodvenom Blade",50412,"Icecrown Citadel N25",Saurfang,,,,,,
"Bone Sentinel's Amulet",49975,"Icecrown Citadel N25",Marrowgar,,,,,,
"Boneguard Commander's Pauldrons",50003,"Icecrown Citadel N25",Gunship,,,,,,
"Boots of the Funeral March",50416,"Icecrown Citadel N25",Valithria,,,,,,
"Boots of Unnatural Growth",50009,"Icecrown Citadel N25",Gunship,,,,,,
"Bracers of Dark Reckoning",49960,"Icecrown Citadel N25",Marrowgar,,,,,,
"Bracers of Eternal Dreaming",50417,"Icecrown Citadel N25",Valithria,,,,,,
"Broken Ram Skull Helm",49986,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Bryntroll, the Bone Arbiter",50415,"Icecrown Citadel N25",Marrowgar,,,,,,
"Bulwark of Smouldering Steel",49976,"Icecrown Citadel N25",Marrowgar,,,,,,
"Carapace of Forgotten Kings",50038,"Icecrown Citadel N25",Festergut,,,,,,
"Coldwraith Links",50187,"Icecrown Citadel N25",Valithria,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel N25",Saurfang,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel N25",Putricide,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel N25",Lana'thel,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel N25",Sindragosa,,,,,,
"Conqueror's Mark of Sanctification",52027,"Icecrown Citadel N25","Lich King",,,,,,
"Corp'rethar Ceremonial Crown",50006,"Icecrown Citadel N25",Gunship,,,,,,
"Corpse Tongue Coin",50352,"Icecrown Citadel N25",Gunship,,,,,,
"Corpse-Impaling Spike",50033,"Icecrown Citadel N25",Rotface,,,,,,
"Crushing Coldwraith Belt",49978,"Icecrown Citadel N25",Marrowgar,,,,,,
"Crypt Keeper's Bracers",50175,"Icecrown Citadel N25",Council,,,,,,
Cryptmaker,49919,"Icecrown Citadel N25",Council,,,,,,
"Cultist's Bloodsoaked Spaulders",49987,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Death Surgeon's Sleeves",50032,"Icecrown Citadel N25",Rotface,,,,,,
"Deathbringer's Will",50362,"Icecrown Citadel N25",Saurfang,,,,,,
"Deathwhisper Raiment",49996,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Devium's Eternally Cold Ring",50185,"Icecrown Citadel N25",Valithria,,,,,,
"Dislodged Foreign Object",50353,"Icecrown Citadel N25",Rotface,,,,,,
"Distant Land",50040,"Icecrown Citadel N25",Festergut,,,,,,
"Dual-Bladed Pauldrons",50022,"Icecrown Citadel N25",Rotface,,,,,,
"Dying Light",50181,"Icecrown Citadel N25",Lana'thel,,,,,,
"Emblem of Frost",49426,"Icecrown Citadel N25","Lich King",,,,,,
"Faceplate of the Forgotten",50060,"Icecrown Citadel N25",Festergut,,,,,,
"Fal'inrush, Defender of Quel'thalas",49981,"Icecrown Citadel N25","Lich King",,,,,,
"Fallen Lord's Handguards",49995,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Festergut's Acidic Blood",50226,"Icecrown Citadel N25",Festergut,,,,,,
"Fleshrending Gauntlets",50037,"Icecrown Citadel N25",Festergut,,,,,,
"Frostbinder's Shredded Cape",50205,"Icecrown Citadel N25",Valithria,,,,,,
"Frostbitten Fur Boots",49950,"Icecrown Citadel N25",Marrowgar,,,,,,
"Frostbrood Sapphire Ring",50186,"Icecrown Citadel N25",Valithria,,,,,,
"Frozen Bonespike",49968,"Icecrown Citadel N25",Marrowgar,,,,,,
"Gangrenous Leggings",50042,"Icecrown Citadel N25",Festergut,,,,,,
"Geistlord's Punishment Sack",50073,"Icecrown Citadel N25",Council,,,,,,
"Gendarme's Cuirass",49951,"Icecrown Citadel N25",Marrowgar,,,,,,
"Glorenzelg, High-Blade of the Silver Hand",50070,"Icecrown Citadel N25","Lich King",,,,,,
"Greatcloak of the Turned Champion",50014,"Icecrown Citadel N25",Saurfang,,,,,,
"Grinning Skull Greatboots",50190,"Icecrown Citadel N25",Valithria,,,,,,
"Gunship Captain's Mittens",50011,"Icecrown Citadel N25",Gunship,,,,,,
"Handguards of Winter's Respite",49979,"Icecrown Citadel N25",Marrowgar,,,,,,
"Harbinger's Bone Band",50447,"Icecrown Citadel N25",Trash,,,,,,
"Havoc's Call, Blade of Lordaeron Kings",50012,"Icecrown Citadel N25","Lich King",,,,,,
Heartpierce,49982,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Heaven's Fall, Kryss of a Thousand Lies",50426,"Icecrown Citadel N25","Lich King",,,,,,
"Helm of the Elder Moon",50026,"Icecrown Citadel N25",Rotface,,,,,,
"Holiday's Grace",50061,"Icecrown Citadel N25",Festergut,,,,,,
"Horrific Flesh Epaulets",50059,"Icecrown Citadel N25",Festergut,,,,,,
"Icecrown Glacial Wall",50065,"Icecrown Citadel N25",Lana'thel,,,,,,
"Ikfirus's Sack of Wonder",50001,"Icecrown Citadel N25",Gunship,,,,,,
"Incarnadine Band of Mending",50174,"Icecrown Citadel N25",Council,,,,,,
"Invincible's Reins",50818,"Icecrown Citadel N25","Lich King",,,,,,
"Juggernaut Band",49985,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Keleseth's Seducer",50184,"Icecrown Citadel N25",Council,,,,,,
"Lana'thel's Chain of Flagellation",50180,"Icecrown Citadel N25",Lana'thel,,,,,,
"Landsoul's Horned Greathelm",50072,"Icecrown Citadel N25",Council,,,,,,
"Last Word",50179,"Icecrown Citadel N25",Putricide,,,,,,
"Leather of Stitched Scourge Parts",50041,"Icecrown Citadel N25",Festergut,,,,,,
"Leggings of Dubious Charms",50450,"Icecrown Citadel N25",Trash,,,,,,
"Leggings of Dying Candles",50199,"Icecrown Citadel N25",Valithria,,,,,,
"Leggings of Northern Lights",49988,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Legguards of Lost Hope",49964,"Icecrown Citadel N25",Marrowgar,,,,,,
"Lingering Illness",50063,"Icecrown Citadel N25",Festergut,,,,,,
"Loop of the Endless Labyrinth",49977,"Icecrown Citadel N25",Marrowgar,,,,,,
Lungbreaker,50183,"Icecrown Citadel N25",Valithria,,,,,,
"Mail of Crimson Coins",50177,"Icecrown Citadel N25",Council,,,,,,
"Marrowgar's Frigid Eye",49967,"Icecrown Citadel N25",Marrowgar,,,,,,
"Memory of Malygos",50424,"Icecrown Citadel N25",Sindragosa,,,,,,
"Might of Blight",50414,"Icecrown Citadel N25",Festergut,,,,,,
"Mithrios, Bronzebeard's Legacy",49997,"Icecrown Citadel N25","Lich King",,,,,,
"Necrophotic Greaves",49993,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Nerub'ar Stalker's Cord",50413,"Icecrown Citadel N25",Festergut,,,,,,
Nibelung,49992,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Nightmare Ender",50472,"Icecrown Citadel N25",Valithria,,,,,,
"Noose of Malachite",50195,"Icecrown Citadel N25",Valithria,,,,,,
"Oathbinder, Charge of the Ranger-General",50425,"Icecrown Citadel N25","Lich King",,,,,,
"Phylactery of the Nameless Lich",50360,"Icecrown Citadel N25",Sindragosa,,,,,,
"Plague Scientist's Boots",50062,"Icecrown Citadel N25",Festergut,,,,,,
"Plaguebringer's Stained Pants",50056,"Icecrown Citadel N25",Festergut,,,,,,
"Polar Bear Claw Bracers",50002,"Icecrown Citadel N25",Gunship,,,,,,
"Primordial Saronite",49908,"Icecrown Citadel N25",Tokens,,,,,,
"Professor's Bloodied Smock",50069,"Icecrown Citadel N25",Putricide,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel N25",Saurfang,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel N25",Putricide,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel N25",Lana'thel,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel N25",Sindragosa,,,,,,
"Protector's Mark of Sanctification",52026,"Icecrown Citadel N25","Lich King",,,,,,
"Raging Behemoth's Shoulderplates",50020,"Icecrown Citadel N25",Rotface,,,,,,
"Rib Spreader",50016,"Icecrown Citadel N25",Rotface,,,,,,
Rigormortis,50068,"Icecrown Citadel N25",Putricide,,,,,,
"Ring of Maddening Whispers",49990,"Icecrown Citadel N25",Deathwhisper,,,,,,
"Ring of Rapid Ascent",50008,"Icecrown Citadel N25",Gunship,,,,,,
"Ring of Rotting Sinew",50453,"Icecrown Citadel N25",Trash,,,,,,
"Robe of the Waking Nightmare",50418,"Icecrown Citadel N25",Valithria,,,,,,
